teryt;f_address
146301;146301 Radom 11 Listopada 23
146301;146301 Radom 11 Listopada 30
146301;146301 Radom 11 Listopada 37
146301;146301 Radom Komunalna 37c
146301;146301 Radom Idalińska 16d
146301;146301 Radom Solskiego 20c
146301;146301 Radom Aleja Wojska Polskiego 120
146301;146301 Radom Paderewskiego 36
146301;146301 Radom Kwiatowa 148c
146301;146301 Radom Sienkiewicza 23a
146301;146301 Radom Sienkiewicza 29
146301;146301 Radom Wolanowska 4
146301;146301 Radom Przytycka 192c
146301;146301 Radom Odrodzenia 87a
146301;146301 Radom Rapackiego 18
146301;146301 Radom Gackiego 28
146301;146301 Radom Słowackiego 5
146301;146301 Radom Klejowa 50
146301;146301 Radom Wolanowska 4
146301;146301 Radom Zbrowskiego 81
146301;146301 Radom Zbrowskiego 93
146301;146301 Radom Zbrowskiego 95
146301;146301 Radom Sienna 62
146301;146301 Radom Struga 84
146301;146301 Radom Struga 84a
146301;146301 Radom Struga 86
146301;146301 Radom Wierzbicka 74c
146301;146301 Radom Wierzbicka 145
146301;146301 Radom Wierzbicka 146
146301;146301 Radom Wierzbicka 147
146301;146301 Radom Wierzbicka 154
146301;146301 Radom Wierzbicka 156
146301;146301 Radom Jana Pawła II 11
146301;146301 Radom Jana Pawła II 12
146301;146301 Radom Jana Pawła II 14
146301;146301 Radom Jana Pawła II 16
146301;146301 Radom Żółkiewskiego 4
146502;146502 Warszawa Generała Kaliskiego 57
146502;146502 Warszawa Powstańców Śląskich 72
146502;146502 Warszawa Powstańców Śląskich 90
146502;146502 Warszawa Powstańców Śląskich 127
146502;146502 Warszawa Powstańców Śląskich 127a
146502;146502 Warszawa Powstańców Śląskich 133
146503;146503 Warszawa Leśnej Polanki 63
146503;146503 Warszawa Marywilska 44b
146503;146503 Warszawa Modlińska 84
146503;146503 Warszawa Płochocińska 27b
146503;146503 Warszawa Zakątna 3
146505;146505 Warszawa Bartycka 135
146505;146505 Warszawa Piaskarzy 7
146505;146505 Warszawa Św. Szczepana 1
146506;146506 Warszawa Heerleina Lindleya 4a
146506;146506 Warszawa Heerleina Lindleya 12
146506;146506 Warszawa Krzywickiego 30
146506;146506 Warszawa Skorochód-Majewskiego 17
146506;146506 Warszawa Wawelska 15
146508;146508 Warszawa Aleja "Solidarności" 6
146508;146508 Warszawa Aleja "Solidarności" 10
146508;146508 Warszawa Aleja "Solidarności" 12
146508;146508 Warszawa Aleja "Solidarności" 12a
146508;146508 Warszawa Aleja "Solidarności" 13
146508;146508 Warszawa Aleja "Solidarności" 14
146508;146508 Warszawa Aleja "Solidarności" 15
146508;146508 Warszawa Jagiellońska 29
146508;146508 Warszawa Jagiellońska 35
146508;146508 Warszawa Otwocka 1
146508;146508 Warszawa Otwocka 1b
146508;146508 Warszawa Sierakowskiego 13
146508;146508 Warszawa Starzyńskiego 3
