Aaron;m;Aarona
Abdon;m;Abdona
Abel;m;Abla
Abelard;m;Abelarda
Abraham;m;Abrahama
Achilles;m;Achillesa
Ada;f;Ady
Adam;m;Adama
Adela;f;Adeli
Adelajda;f;Adelajdy
Adrian;m;Adriana
Adriana;f;Adriany
Adrianna;f;Adrianny
Agapit;m;Agapita
Agata;f;Agaty
Agaton;m;Agatona
Agnieszka;f;Agnieszki
Alan;m;Alana
Albert;m;Alberta
Alberta;f;Alberty
Albin;m;Albina
Aldona;f;Aldony
Aleksander;m;Aleksandra
Aleksandra;f;Aleksandry
Aleksja;f;Aleksji
Aleksy;m;Aleksego
Alfons;m;Alfonsa
Alfred;m;Alfreda
Alfreda;f;Alfredy
Alicja;f;Alicji
Alina;f;Aliny
Alojzy;m;Alojzego
Amadeusz;m;Amadeusza
Amalia;f;Amalii
Amanda;f;Amandy
Ambroży;m;Ambrożego
Amelia;f;Amelii
Ananiasz;m;Ananiasza
Anastazja;f;Anastazji
Anastazy;m;Anastazego
Anatol;m;Anatola
Andrea;f;Andrei
Andrzej;m;Andrzeja
Andrzeja;f;Andrzei
Aneta;f;Anety
Angelika;f;Angeliki
Aniela;f;Anieli
Anioł;m;Anioła
Anita;f;Anity
Anna;f;Anny
Annasz;m;Annasza
Antoni;m;Antoniego
Antonin;m;Antonina
Antonina;f;Antoniny
Antonio;m;Antonia
Anzelm;m;Anzelma
Apollo;m;Apolla
Apolonia;f;Apolonii
Ariadna;f;Ariadny
Ariel;m;Ariela
Arkadiusz;m;Arkadiusza
Arkady;m;Arkadego
Arleta;f;Arlety
Arnold;m;Arnolda
Artur;m;Artura
Atena;f;Ateny
August;m;Augusta
Augustyn;m;Augustyna
Augustyna;f;Augustyny
Aurelia;f;Aurelii
Aurelian;m;Aureliana
Balbina;f;Balbiny
Baltazar;m;Baltazara
Barabasz;m;Barabasza
Barbara;f;Barbary
Barnaba;m;Barnaby
Bartłomiej;m;Bartłomieja
Bazyli;m;Bazylego
Beata;f;Beaty
Beatrycze;f;Beatrycze
Benedykt;m;Benedykta
Beniamin;m;Beniamina
Benigna;f;Benigny
Benon;m;Benona
Berenika;f;Bereniki
Bernadeta;f;Bernadety
Bernard;m;Bernarda
Bertolt;m;Bertolta
Bianka;f;Bianki
Bibiana;f;Bibiany
Blanka;f;Blanki
Błażej;m;Błażeja
Bogdan;m;Bogdana
Boguchwał;m;Boguchwała
Boguchwała;f;Boguchwały
Bogumiła;f;Bogumiły
Bolesław;m;Bolesława
Bona;f;Bony
Bonawentura;m;Bonawentury
Bonifacy;m;Bonifacego
Borys;m;Borysa
Borysław;m;Borysławia
Bożena;f;Bożeny
Bożydar;m;Bożydara
Bronisław;m;Bronisława
Bronisława;f;Bronisławy
Bruno;m;Brunona
Brunon;m;Brunona
Brygida;f;Brygidy
Cecylia;f;Cecylii
Celestyn;m;Celestyna
Celina;f;Celiny
Cezaria;f;Cezarii
Cezary;m;Cezarego
Christ;m;Chirsta
Ciechosław;m;Ciechosława
Ciechosława;f;Ciechosławy
Claudio;m;Claudia
Cyryl;m;Cyryla
Czesława;f;Czesławy
Dacjusz;m;Dacjusza
Dagmara;f;Dagmary
Damian;m;Damiana
Damroka;f;Damroki
Dana;f;Dany
Daniel;m;Daniela
Daniela;f;Danieli
Danisława;f;Danisławy
Danuta;f;Danuty
Daria;f;Darii
Dariusz;m;Dariusza
Dawid;m;Dawida
Dąbrówka;f;Dąbrówki
Delfina;f;Delfiny
Diana;f;Diany
Dobrosław;m;Dobrosława
Dominik;m;Dominika
Dominika;f;Dominiki
Donald;m;Donalda
Donat;m;Donata
Dorian;m;Doriana
Dorota;f;Doroty
Dymitr;m;Dymitra
Dżamila;f;Dżamili
Dżesika;f;Dżesiki
Edgar;m;Edgara
Edmund;m;Edmunda
Edward;m;Edwarda
Edyta;f;Edyty
Efraim;m;Efraima
Efrem;m;Efrema
Eleonora;f;Eleonory
Eliasz;m;Eliasza
Eligiusz;m;Eligiusza
Elwira;f;Elwiry
Elżbieta;f;Elżbiety
Emanuel;m;Emanuela
Emil;m;Emila
Emilia;f;Emilii
Emilian;m;Emiliana
Emir;m;Emira
Emma;f;Emmy
Ernest;m;Ernesta
Ernestyna;f;Ernestyny
Erwin;m;Erwina
Eryk;m;Eryka
Eryka;f;Eryki
Estera;f;Estery
Eugenia;f;Eugenii
Eugeniusz;m;Eugeniusza
Eunika;f;Euniki
Ewa;f;Ewy
Ewaryst;m;Ewarysta
Ewarysta;f;Ewarysty
Ewelina;f;Eweliny
Ezaw;m;Ezawa
Ezechiel;m;Ezechiela
Fabian;m;Fabiana
Fatima;f;Fatimy
Faustyn;m;Faustyna
Faustyna;f;Faustyny
Felicja;f;Felicji
Felicjan;m;Felicjana
Felicyta;f;Felicyty
Feliks;m;Feliksa
Ferdynand;m;Ferdynanda
Filip;m;Filipa
Filomena;f;Filomeny
Flora;f;Flory
Florentyn;m;Florentyna
Florentyna;f;Florentyny
Florian;m;Floriana
Franciszek;m;Franciszka
Franciszka;f;Franciszki
Fryc;m;Fryca
Fryderyk;m;Fryderyka
Fryderyka;f;Fryderyki
Gabriel;m;Gabriela
Gabriela;f;Gabrieli
Gaja;f;Gai
Gaweł;m;Gawła
Genowefa;f;Genowefy
Gertruda;f;Gertrudy
Gerwazy;m;Gerwazego
Gilbert;m;Gilberta
Giordano;m;Giordana
Giuseppe;m;Giuseppe
Gizela;f;Gizely
Godehard;m;Godeharda
Godfryd;m;Godfryda
Gotard;m;Gotarda
Gotszalk;m;Gotszalka
Gracja;f;Gracji
Gracjan;m;Gracjana
Grażyna;f;Grażyny
Grzegorz;m;Grzegorza
Grzymisława;f;Grzymisławy
Gualfard;m;Gualfarda
Gustaw;m;Gustawa
Hadrian;m;Hadriana
Halina;f;Haliny
Hanka;f;Hanki
Hanna;f;Hanny
Helena;f;Heleny
Helga;f;Helgi
Henrieta;f;Henriety
Henryk;m;Henryka
Henryka;f;Henryki
Herakles;m;HeraklesaHerakla
Herakliusz;m;Herakliusza
Herbert;m;Herberta
Hermes;m;Hermesa
Hestia;f;Hestii
Hiacynt;m;Hiacynta
Hiacynta;f;Hiacynty
Hieronim;m;Hieronima
Hilaria;f;Hilarii
Hilary;m;Hilarego
Honorata;f;Honoraty
Horacy;m;Horacego
Hugo;m;Hugona
Hugon;m;Hugona
Ida;f;Idy
Idzi;m;Idziego
Iga;f;Igi
Ignacy;m;Ignacego
Igor;m;Igora
Ildefons;m;Ildefonsa
Ilia;f;Ilii
Ilona;f;Ilony
Inga;f;Ingi
Inka;f;Inki
Irena;f;Ireny
Ireneusz;m;Ireneusza
Irma;f;Irmy
Irmina;f;Irminy
Iryda;f;Irydy
Isaac;m;Isaaca
Isaak;m;Isaaka
Iwo;m;Iwona
Iwon;m;Iwon
Iwona;f;Iwony
Izabela;f;Izabeli
Izajasz;m;Izajasza
Izydor;m;Izydora
Jacek;m;Jacka
Jadwiga;f;Jadwigi
Jagna;f;Jagny
Jagoda;f;Jagody
Jakub;m;Jakuba
Jan;m;Jana
Jana;f;Jany
Janina;f;Janiny
Janusz;m;Janusza
Jaromir;m;Jaromira
Jarosław;m;Jarosława
Jeremiasz;m;Jeremiasza
Jerzy;m;Jerzego
Jędrzej;m;Jędrzeja
Joachim;m;Joachima
Joanna;f;Joanny
Jolanta;f;Jolanty
Jonasz;m;Jonasza
Jonatan;m;Jonatana
Jowita;f;Jowity
Jozafat;m;Jozafata
Józef;m;Józefa
Józefina;f;Józefiny
József;m;Józsefa
Judyta;f;Judyty
Julia;f;Julii
Juliusz;m;Juliusza
Jur;m;Jura
Jurij;m;Jurija
Justyn;m;Justyna
Justyna;f;Justyny
Kacper;m;Kacpra
Kajetan;m;Kajetana
Kajusz;m;Kajusza
Kalina;f;Kaliny
Kama;f;Kamy
Kamil;m;Kamila
Kamila;f;Kamili
Karina;f;Kariny
Karol;m;Karola
Karolina;f;Karoliny
Kasandra;f;Kasandry
Kastor;m;Kastora
Katarzyna;f;Katarzyny
Kazimierz;m;Kazimierza
Kinga;f;Kingi
Klarysa;f;Klarysy
Klaudia;f;Klaudii
Klemens;m;Klemensa
Klementyna;f;Klementyny
Kleopatra;f;Kleopatry
Klotylda;f;Klotyldy
Konrad;m;Konrada
Konstancja;f;Konstancji
Konstantyn;m;Konstantyna
Kordian;m;Kordiana
Kornel;m;Kornela
Kosma;m;Kosmy
Kryspin;m;Kryspina
Krystian;m;Krystiana
Krystyna;f;Krystyny
Krzesimir;m;Krzesimira
Krzysztof;m;Krzysztofa
Krzysztofa;f;Krzysztofy
Ksawery;m;Ksawerego
Ksenia;f;Kseni
Kwiatosław;m;Kwiatosława
Kwiatosława;f;Kwiatosławy
Kwietosław;m;Kwietosława
Kwietosława;f;Kwietosławy
Laurencja;f;Laurencji
Lech;m;Lecha
Lena;f;Leny
Leo;m;Leonis
Leon;m;Leona
Leonard;m;Leonarda
Leontyna;f;Leontyny
Leopold;m;Leopolda
Leopolda;f;Leopoldy
Lesław;m;Lesława
Lew;m;Lwa
Lidia;f;Lidii
Ligia;f;Ligii
Lilianna;f;Lilianny
Lilianna;f;Lilianny
Linda;f;Lindy
Lora;f;Lory
Lubomir;m;Lubomira
Lucian;m;Luciana
Lucyna;f;Lucyny
Ludmiła;f;Ludmiły
Ludwik;m;Ludwika
Ludwika;f;Ludwiki
Luiza;f;Luizy
Luna;f;Luny
Łazarz;m;Łazarza
Łucja;f;Łucji
Łucjan;m;Łucjana
Łukasz;m;Łukasza
Maciej;m;Macieja
Magda;f;Magdy
Magdalena;f;Magdaleny
Magnus;m;Magnusa
Maja;f;Mai
Maksymilian;m;Maksymiliana
Maksymin;m;Maksymina
Malachiasz;m;Malachiasza
Malwina;f;Malwiny
Małgorzata;f;Małgorzaty
Manuel;m;Manuela
Marcel;m;Marcela
Marcela;f;Marceli
Marceli;m;Marcelego
Marcin;m;Marcina
Marek;m;Marka
Maria;f;Marii
Marian;m;Mariana
Marianna;f;Marianny
Marietta;f;Marietty
Marika;f;Mariki
Mariola;f;Marioli
Mariusz;m;Mariusza
Marta;f;Marty
Martyna;f;Martyny
Maryja;f;Maryi
Maryla;f;Maryli
Maryna;f;Maryny
Marzena;f;Marzeny
Mateusz;m;Mateusza
Matylda;f;Matyldy
Maurycy;m;Maurycego
Medard;m;Medarda
Melania;f;Melanii
Melchior;m;Melchiora
Metody;m;Metodego
Michalina;f;Michaliny
Michał;m;Michała
Mieczysław;m;Mieczysława
Mieczysława;f;Mieczysławy
Mikołaj;m;Mikołaja
Milena;f;Mileny
Miłosława;f;Miłosławy
Miłosz;m;Miłosza
Minerwa;f;Minerwy
Mira;f;Miry
Miranda;f;Mirandy
Mirela;f;Mireli
Miriam;f;Miriam
Mirosław;m;Mirosława
Modest;m;Modesta
Mojmir;m;Mojmira
Mojżesz;m;Mojżesza
Monika;f;Moniki
Mordechaj;m;Mordechaja
Nadia;f;Nadii
Nadzieja;f;Nadziei
Napoleon;m;Napoleona
Narcyz;m;Narcyza
Natalia;f;Natalii
Natan;m;Natana
Natanael;m;Natanaela
Natasza;f;Nataszy
Nestor;m;Nestora
Nikodem;m;Nikodema
Nikola;f;Nikoli
Noemi;f;Noemi
Nora;f;Nory
Norbert;m;Norberta
Norman;m;Normana
Ofelia;f;Ofelii
Oktawia;f;Oktawii
Oktawian;m;Oktawiana
Olaf;m;Olafa
Olga;f;Olgi
Olgierd;m;Olgierda
Olimpia;f;Olimpii
Omar;m;Omara
Oriana;f;Oriany
Oskar;m;Oskara
Otto;m;Ottona
Otton;m;Ottona
Owidiusz;m;Owidiusza
Ozeasz;m;Ozeasza
Paavo;m;Paavo
Pablo;m;Pabla
Pachomiusz;m;Pachomiusza
Pafnucy;m;Pafnucego
Pakosław;m;Pakosława
Pamela;f;Pamely
Pankracy;m;Pankracego
Patrycja;f;Patrycji
Patryk;m;Patryka
Paweł;m;Pawła
Pelagia;f;Pelagii
Pelagiusz;m;Pelagiusza
Petra;f;Petry
Petronela;f;Petroneli
Petronia;f;Petronii
Petroniusz;m;Petroniusza
Piotr;m;Piotra
Polikarp;m;Polikarpa
Prokop;m;Prokopa
Prot;m;Prota
Przemysł;m;Przemysła
Przemysław;m;Przemysława
Radomił;m;Radomiła
Radosław;m;Radosława
Radzimir;m;Radzimira
Rafaela;f;Rafaeli
Rafał;m;Rafała
Rajmund;m;Rajmunda
Randoald;m;Randoalda
Rebeka;f;Rebeky
Regina;f;Reginy
Remigiusz;m;Remigiusza
Renata;f;Renaty
Richariusz;m;Richariusza
Rita;f;Rity
Robert;m;Roberta
Roberta;f;Roberty
Roch;m;Rocha
Roksana;f;Roksany
Roland;m;Rolanda
Roma;f;Romy
Roman;m;Romana
Romana;f;Romany
Romuald;m;Romualda
Ronald;m;Ronalda
Rozalia;f;Rozalii
Róża;f;Róży
Rudolf;m;Rudolfa
Rufus;m;Rufusa
Rut;f;Rut
Ryksa;f;Ryksy
Ryszard;m;Ryszarda
Ryszarda;f;Ryszardy
Ryta;f;Ryty
Salomea;f;Salomei
Salomon;m;Salomona
Samara;f;Samary
Sambor;m;Sambora
Samson;m;Samsona
Samuel;m;Samuela
Sandra;f;Sandry
Sara;f;Sary
Sebastian;m;Sebastiana
Selena;f;Seleny
Serafin;m;Serafina
Sergiusz;m;Sergiusza
Seweryn;m;Seweryna
Skałosz;m;Skałosza
Sława;f;Sławy
Sławek;m;Sławka
Sławomir;m;Sławomira
Stanisław;m;Stanisława
Starwit;m;Starwita
Stefan;m;Stefana
Stefania;f;Stefanii
Stela;f;Steli
Stella;f;Stelli
Sydonia;f;Sydonii
Sydoniusz;m;Sydoniusza
Sykstus;m;Sykstusa
Sylwan;m;Sylwana
Sylwester;m;Sylwestra
Symplicjusz;m;Symplicjusza
Syriusz;m;Syriusza
Szczepan;m;Szczepana
Szymon;m;Szymona
Świętopełk;m;Świętopełka
Tadeusz;m;Tadeusza
Tamara;f;Tamary
Tatiana;f;Tatiany
Tekla;f;Tekli
Telesfor;m;Telesfora
Telimena;f;Telimeny
Teodor;m;Teodora
Teofil;m;Teofila
Teofila;f;Teofili
Tobiasz;m;Tobiasza
Tomasz;m;Tomasza
