teryt;token;replacement
326201;123 - 139;122 - 139
046101;Osada nieparzyste od 1 do 23 i parzyste od 2 do 28;ul. Osada nieparzyste od 1 do 23 i parzyste od 2 do 28
046101;Osada nieparzyste od 25 i parzyste od 30 do końca;ul. Osada nieparzyste od 25 i parzyste od 30 do końca
286201;Olsztyn ulica: Dworcowa /nieparzysta od 25 do 41A i parzysta od 28 i 28b /;Dworcowa nieparzyste od 25 do 41A i parzyste od 28 do 32
226201;Osada Rybacka;ul. Osada Rybacka
226201;Osada Kolejowa od 2 do 10 parzyste i od 1 do 13 nieparzyste;ul. Osada Kolejowa od 2 do 10 parzyste i od 1 do 13 nieparzyste
226201;Osada Kolejowa od 12 do końca parzyste i od 15 do końca nieparzyste;ul. Osada Kolejowa od 12 do końca parzyste i od 15 do końca nieparzyste
046401;Osada Rybnica;ul. Osada Rybnica
306101;Gen. Stefana Roweckiego „GROTA”;Gen. Stefana Roweckiego "Grota"
146201;nieparzyste od 65 do 69;65 i 69
146201;bez 67/1 oraz nieparzyste od 71 do 103;nieparzyste od 71 do 103
146301;Sycyńska od 1 do 29A;Sycyńska od 1 do 29A nieparzyste
146301;nieparzysta i od 2 do końca parzysta;od 2 parzyste
146301;Czarna od 21 i od 59 nieparzysta;Czarna od 21 do 59 nieparzyste
146301;Kielecka od 44 do 82 parzysta i od 37 do 81A i 81K nieparzysta;Kielecka od 44 do 82 parzyste i od 37 do 81A nieparzyste i 81K
026201;Batalionu"Parasol";Batalionu "Parasol"
026501;place: Magistracki;plac Magistracki
246201;Orląt Lwowskich od 1 od 10;Orląt Lwowskich od 1 do 10
246401;Osada Młyńska;ul. Osada Młyńska
246401;Franciszka Żwirki i Stanisława Wigury;Żwirki i Wigury
246401;prof. Kazmierza Zarankiewicza;prof. Kazimierza Zarankiewicza
246501;ul.: Aleja Józefa Piłsudskiego 36;Aleja Piłsudskiego od 36 do 36f
246501;ul. Aleja Józefa Piłsudskiego 20;Aleja Piłsudskiego 20 i od 32 do 32b
246501;ul. Aleja Józefa Piłsudskiego 4;Aleja Piłsudskiego 4 i od 34 do 34f
246601;Zygmunta Starego od 1 do 19.;Zygmunta Starego od 1 do 19d
247501;Wilhelma Fitznera i Konrada Gampera;Fitznera-Gampera
247801;ul.: Bytomska od 2 od 2A parzyste;Bytomska od 2 do 2A
247801;do 2 od 24 parzyste;od 2 do 24 parzyste
247901;Gwarków od 5 do 5E;Gwarków od 5 do 5E i 18 i 20 i 24 i 28 i 30 i 32 i 34
247901;Osiedle Księcia Władysława bloki od 1 do 6F;Osiedle Księcia Władysława bloki od 1 do 6F i 15
247901;Osiedle Sikorskiego bloki od 1 do 8L oraz od 32 do 34D i od 36A do 36D;Osiedle Sikorskiego bloki od 1 do 8L oraz od 32 do 34f i 36
247901;Osiedle Sikorskiego bloki od 9 do 19F oraz od 35A do 35F;Osiedle Sikorskiego bloki od 9 do 19F oraz 35
247901;Osiedle Korfantego bloki od 1 do 7D i od 9A do 9H;Osiedle Korfantego bloki od 1 do 7D i 9
247901;Osiedle Korfantego bloki od 8A do 8J i od 10 do 19D;Osiedle Korfantego bloki 8 i od 10 do 19D
247901;Osiedle Pawlikowskiego bloki od 1 do 11L oraz blok od 21A do 22D i 42;Osiedle Pawlikowskiego bloki od 1 do 11L oraz od 21 do 22D i 42
247901;Pszczyńska;bez 54
186101;Kazmierza Pużaka;Pużaka
